audio_path,speaker,time_start,time_end,text
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,0.0,4.075,All calls are recorded for quality and training purposes.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,4.475,10.641,Thank you for calling your locally owned [OCCUPATION] [OCCUPATION] where we fix all your pains.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,11.041,14.701,Your [OCCUPATION] is currently assisting another caller.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,15.101,17.416,Please stay the line.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,17.816,24.355,I'll be happy to assist you with all your glass needs.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,24.755,28.276,Thanks for calling [ORGANIZATION] [ORGANIZATION].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,28.676,34.191,[ORGANIZATION] [ORGANIZATION].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,34.591,38.581,[ORGANIZATION] [ORGANIZATION] paane.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,38.981,41.905,This is [PERSON_NAME].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,42.305,43.969,How can I help you?
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,44.369,46.407,"Yes, please."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,46.807,52.792,I'm calling because I would like to see if I can get glass silver film in my trailer that I'm purchasing.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,53.192,57.598,"Okay, so you need some done to your trailers, is that correct?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,57.998,61.615,"Yes, I can take your information."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,62.015,64.65,Have somebody give you a call with a quote.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,65.05,67.045,"What is your name, please?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,67.445,76.907,[PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME].
